dataset,dataset_code,validation_design,repeat,outer_fold,split_id,split_seed,train_rows,test_rows,train_sources,test_sources,overlapping_source_count,test_rows_with_source_seen_in_training,test_source_seen_fraction,heldout_source_id
filament_diameter,FD,publication_grouped,2,2,FD_publication_grouped_r02_f002,1159476889,229,57,43,11,0,0,0.0,
filament_diameter,FD,publication_grouped,2,3,FD_publication_grouped_r02_f003,1159476889,229,57,43,11,0,0,0.0,
filament_diameter,FD,publication_grouped,2,4,FD_publication_grouped_r02_f004,1159476889,228,58,44,10,0,0,0.0,
filament_diameter,FD,publication_grouped,2,5,FD_publication_grouped_r02_f005,1159476889,229,57,44,10,0,0,0.0,
filament_diameter,FD,publication_grouped,3,1,FD_publication_grouped_r03_f001,815483958,229,57,44,10,0,0,0.0,
filament_diameter,FD,publication_grouped,3,2,FD_publication_grouped_r03_f002,815483958,229,57,43,11,0,0,0.0,
filament_diameter,FD,publication_grouped,3,3,FD_publication_grouped_r03_f003,815483958,229,57,42,12,0,0,0.0,
filament_diameter,FD,publication_grouped,3,4,FD_publication_grouped_r03_f004,815483958,228,58,44,10,0,0,0.0,
filament_diameter,FD,publication_grouped,3,5,FD_publication_grouped_r03_f005,815483958,229,57,43,11,0,0,0.0,
filament_diameter,FD,publication_grouped,4,1,FD_publication_grouped_r04_f001,2982755346,229,57,43,11,0,0,0.0,
filament_diameter,FD,publication_grouped,4,2,FD_publication_grouped_r04_f002,2982755346,229,57,43,11,0,0,0.0,
filament_diameter,FD,publication_grouped,4,3,FD_publication_grouped_r04_f003,2982755346,229,57,42,12,0,0,0.0,
filament_diameter,FD,publication_grouped,4,4,FD_publication_grouped_r04_f004,2982755346,229,57,44,10,0,0,0.0,
filament_diameter,FD,publication_grouped,4,5,FD_publication_grouped_r04_f005,2982755346,228,58,44,10,0,0,0.0,
filament_diameter,FD,publication_grouped,5,1,FD_publication_grouped_r05_f001,1026411584,229,57,42,12,0,0,0.0,
filament_diameter,FD,publication_grouped,5,2,FD_publication_grouped_r05_f002,1026411584,228,58,44,10,0,0,0.0,
filament_diameter,FD,publication_grouped,5,3,FD_publication_grouped_r05_f003,1026411584,229,57,44,10,0,0,0.0,
filament_diameter,FD,publication_grouped,5,4,FD_publication_grouped_r05_f004,1026411584,229,57,43,11,0,0,0.0,
filament_diameter,FD,publication_grouped,5,5,FD_publication_grouped_r05_f005,1026411584,229,57,43,11,0,0,0.0,
filament_diameter,FD,leave_one_publication_out,1,1,FD_leave_one_publication_out_r01_f001,4032105161,284,2,53,1,0,0,0.0,ref:akkineni gelinsky biofab 2016
filament_diameter,FD,leave_one_publication_out,1,2,FD_leave_one_publication_out_r01_f002,4032105161,283,3,53,1,0,0,0.0,ref:be22assoni khademhosseini biofab 2014
filament_diameter,FD,leave_one_publication_out,1,3,FD_leave_one_publication_out_r01_f003,4032105161,283,3,53,1,0,0,0.0,ref:bociaga rosinska mat 2020
filament_diameter,FD,leave_one_publication_out,1,4,FD_leave_one_publication_out_r01_f004,4032105161,283,3,53,1,0,0,0.0,ref:chen zhang appmatint 2019
filament_diameter,FD,leave_one_publication_out,1,5,FD_leave_one_publication_out_r01_f005,4032105161,283,3,53,1,0,0,0.0,ref:chung wallace biomatsci 2013
filament_diameter,FD,leave_one_publication_out,1,6,FD_leave_one_publication_out_r01_f006,4032105161,285,1,53,1,0,0,0.0,ref:cidonio oreffo biofab 2019
filament_diameter,FD,leave_one_publication_out,1,7,FD_leave_one_publication_out_r01_f007,4032105161,277,9,53,1,0,0,0.0,ref:colosi khademhosseini advmat 2016
filament_diameter,FD,leave_one_publication_out,1,8,FD_leave_one_publication_out_r01_f008,4032105161,285,1,53,1,0,0,0.0,ref:dai 2016
filament_diameter,FD,leave_one_publication_out,1,9,FD_leave_one_publication_out_r01_f009,4032105161,282,4,53,1,0,0,0.0,ref:daly kelly biofab 2016
filament_diameter,FD,leave_one_publication_out,1,10,FD_leave_one_publication_out_r01_f010,4032105161,283,3,53,1,0,0,0.0,ref:das ghosh actabiomat 2015
filament_diameter,FD,leave_one_publication_out,1,11,FD_leave_one_publication_out_r01_f011,4032105161,284,2,53,1,0,0,0.0,ref:duan butcher jbiomedmatres 2012
filament_diameter,FD,leave_one_publication_out,1,12,FD_leave_one_publication_out_r01_f012,4032105161,284,2,53,1,0,0,0.0,ref:duin 2019
filament_diameter,FD,leave_one_publication_out,1,13,FD_leave_one_publication_out_r01_f013,4032105161,281,5,53,1,0,0,0.0,ref:fedorovich dhe22 tissueeng 2008
filament_diameter,FD,leave_one_publication_out,1,14,FD_leave_one_publication_out_r01_f014,4032105161,282,4,53,1,0,0,0.0,ref:fisch zenobi wong biofab 2021
filament_diameter,FD,leave_one_publication_out,1,15,FD_leave_one_publication_out_r01_f015,4032105161,284,2,53,1,0,0,0.0,ref:gantumar sakai
