scenario_key,scenario_label,source_column,feature_mode,validation_design,repeat,source_seen_fraction,prediction_rows,publication_count,mae,rmse,bias,r2,macro_publication_mae
missingness_le_50,Prospective features with <=50% missingness,meta_primary_source_id,missingness_le_50,publication_grouped,5,0.0,608,75,12.5451163848554,16.824910304681932,1.4080207753644862,0.01937976352120807,12.138259192241089
missingness_le_50,Prospective features with <=50% missingness,meta_primary_source_id,missingness_le_50,random_rowwise,1,0.9901315789473685,608,75,8.108326183423026,12.02478886221068,-0.2217754652315518,0.4991008957127342,8.538114445464993
missingness_le_50,Prospective features with <=50% missingness,meta_primary_source_id,missingness_le_50,random_rowwise,2,0.9901315789473685,608,75,8.318241409299924,12.394001934899029,-0.40535858968107263,0.4678691284390466,8.67259834342143
missingness_le_50,Prospective features with <=50% missingness,meta_primary_source_id,missingness_le_50,random_rowwise,3,0.9851973684210527,608,75,8.081691315572456,12.078240134669317,-0.3101241000605672,0.4946379150234238,8.53957933527348
missingness_le_50,Prospective features with <=50% missingness,meta_primary_source_id,missingness_le_50,random_rowwise,4,0.9786184210526315,608,75,8.458306248716008,13.05309279168534,-0.5576530815504054,0.4097687676277654,8.912190629992596
missingness_le_50,Prospective features with <=50% missingness,meta_primary_source_id,missingness_le_50,random_rowwise,5,0.9917763157894737,608,75,8.379969729911407,12.298110704679393,-0.40073737777479157,0.4760713684976895,8.701279623349908
non_primary_cells_only,Non-primary-cell observations only,meta_primary_source_id,prospective_design,publication_grouped,1,0.0,261,33,12.840889199749773,17.65585861683025,0.9872449026173944,0.020613970672148985,13.153315636574977
non_primary_cells_only,Non-primary-cell observations only,meta_primary_source_id,prospective_design,publication_grouped,2,0.0,261,33,14.051263712811236,18.66951268890841,0.8616316206313371,-0.09507076305502316,13.991779063507071
non_primary_cells_only,Non-primary-cell observations only,meta_primary_source_id,prospective_design,publication_grouped,3,0.0,261,33,13.34879178064859,17.8546566772141,1.17635051229744,-0.0015652017376059923,13.628769517503814
non_primary_cells_only,Non-primary-cell observations only,meta_primary_source_id,prospective_design,publication_grouped,4,0.0,261,33,12.256564186923221,17.056361576515894,0.14509025258091787,0.08599408190176006,13.178940309329475
non_primary_cells_only,Non-primary-cell observations only,meta_primary_source_id,prospective_design,publication_grouped,5,0.0,261,33,13.928995344874503,18.692838761663474,1.1843756485261265,-0.09780888034055302,13.819806882610509
non_primary_cells_only,Non-primary-cell observations only,meta_primary_source_id,prospective_design,random_rowwise,1,0.9846743295019157,261,33,8.135333105403452,12.676932661185388,-0.2863251885819272,0.49510091166965575,9.249390942234735
non_primary_cells_only,Non-primary-cell observations only,meta_primary_source_id,prospective_design,random_rowwise,2,0.9846743295019157,261,33,8.080897671287834,12.801886017638227,-0.36023735759869124,0.4850985297223249,9.226800808975302
non_primary_cells_only,Non-primary-cell observations only,meta_primary_source_id,prospective_design,random_rowwise,3,0.9846743295019157,261,33,8.10535541881855,12.473265770783,-0.40600304138227783,0.5111939508366661,9.050996479149733
non_primary_cells_only,Non-primary-cell observations only,meta_primary_source_id,prospective_design,random_rowwise,4,0.9808429118773946,261,33,8.212147328482999,12.633561464950459,-0.6514703413029566,0.4985497929435022,9.054095937041778
non_primary_cells_only,Non-primary-cell observations only,meta_primary_source_id,prospective_design,random_rowwise,5,0.9693486590038314,261,33,8.240791923438158,12.184123585024443,-0.5799882446195754,0.5335932676522337,9.358879872577472
observed_pressure_only,Rows with observed extrusion pressure only,meta_primary_source_id,prospective_design,publication_grouped,1,0.0,351,40,11.531886124842806,15.137048995994162,1.4947685042172634,0.1282920262240791,10.284875276033048
observed_pressure_only,Rows with observed extrusion pressure only,meta_primary_source_id,prospective_design,publication_grouped,2,0.0,351,40,11.973844256814761,15.418874250520592,1.3562465389878882,0.09553051673896518,10.272945064357277
