dataset,target_key,feature_set,model_variant,task_id,observed_feature_count,minimum_task_rank,maximum_task_rank,task_rank_sum,minimum_task_importance,maximum_task_importance,original_feature_count,expected_rank_sum,feature_count_matches_inventory,minimum_rank_valid,maximum_rank_valid,rank_sum_valid
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r05__f03,44,1.0,43.0,990.0,0.0,1.830826420446259,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r05__f04,44,1.0,43.0,990.0,0.0,2.8377338220201795,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r05__f05,44,1.0,43.5,990.0,0.0,1.9753454162094664,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,tuned_rf_reference,step16__cell_viability__prospective_design__publication_grouped__r01__f01,44,1.0,41.5,990.0,0.0,1.5150750732668816,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,tuned_rf_reference,step16__cell_viability__prospective_design__publication_grouped__r01__f02,44,1.0,44.0,990.0,0.0,1.3395614211701354,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,tuned_rf_reference,step16__cell_viability__prospective_design__publication_grouped__r01__f03,44,1.0,44.0,990.0,0.0,2.210311157966986,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,tuned_rf_reference,step16__cell_viability__prospective_design__publication_grouped__r01__f04,44,1.0,43.5,990.0,0.0,1.1505492630701677,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,tuned_rf_reference,step16__cell_viability__prospective_design__publication_grouped__r01__f05,44,1.0,43.0,990.0,0.0,1.7682935077258135,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,tuned_rf_reference,step16__cell_viability__prospective_design__publication_grouped__r02__f01,44,1.0,43.0,990.0,0.0,3.0693796568692,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,tuned_rf_reference,step16__cell_viability__prospective_design__publication_grouped__r02__f02,44,1.0,42.5,990.0,0.0,1.264456193809916,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,tuned_rf_reference,step16__cell_viability__prospective_design__publication_grouped__r02__f03,44,1.0,42.0,990.0,0.0,1.9508849026477253,44,990.0,True,True,True,True
