dataset,target_family,target_key,target_column,target_label,unit,feature_set,validation_design,model_key,meta_primary_source_id,repeat_count,source_rows,source_mae,source_rmse,source_bias,source_true_mean,source_predicted_mean
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1016/j.actbio.2020.07.016,1,6,3.6958901719576858,4.689132529797576,-3.291585727513213,88.61666666666667,85.32508093915345
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1016/j.addma.2020.101640,1,4,14.151070797258313,14.175321064251301,-14.151070797258313,96.2,82.04892920274169
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1016/j.biomaterials.2015.05.031,1,6,13.801760303030257,18.24427222377407,11.43072153679647,75.05,86.48072153679647
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1016/j.biomaterials.2016.07.038,1,9,5.964127063492053,6.436440211795368,-0.5140214373897563,80.98888888888888,80.47486745149914
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1016/j.jmbbm.2017.12.018,1,3,13.411993439153397,13.554042271632396,-13.411993439153397,92.33333333333333,78.92133989417994
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1016/j.mtbio.2020.100078,1,5,24.86230714285721,24.94374291599008,-24.86230714285721,94.24,69.37769285714279
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1021/acs.biomac.5b00188,1,2,4.453773015872969,4.773482230292582,1.7175676190475997,78.65,80.3675676190476
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1021/acs.biomac.9b01204,1,12,7.339350440917101,8.141996700748116,6.128402619047599,76.18333333333334,82.31173595238094
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1021/acsami.7b04216,1,3,17.841639629629583,18.055151996449663,-17.841639629629583,95.33333333333333,77.49169370370375
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1021/acsami.7b16059,1,12,10.272631215683726,11.753055777684985,1.368994075326312,83.68333333333334,85.05232740865965
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1021/acsami.9b09782,1,6,6.046989417989397,7.5188858221347115,3.2076349206348476,80.48333333333333,83.69096825396818
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1021/acsbiomaterials.9b00167,1,12,13.0557654799984,14.560264100720849,-12.16546045200171,90.45833333333333,78.29287288133162
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1038/s41598-017-17286-1,1,2,5.914043531746152,5.998409551321793,-5.914043531746152,86.02250000000001,80.10845646825385
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1038/s41598-018-26407-3,1,20,5.41787875793649,6.391520486803001,-5.41787875793649,88.425,83.0071212420635
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1038/s41598-019-55034-9,1,15,14.105265173160173,17.83187425328639,4.00237228138533,80.19066666666666,84.19303894805199
